iter	RMSE
509	527634.8702
510	527347.4521
511	526839.8346
512	525742.2634
513	524865.163
514	523836.0764
515	522422.4361
516	521546.6413
517	521002.7987
518	520547.1733
519	519936.7032
520	519277.3641
521	517981.5425
522	517473.1599
523	517195.6305
524	516614.8252
525	515448.4097
526	515025.3312
527	514321.0741
528	513981.7671
529	512930.4814
530	512560.6337
531	512099.2004
532	511954.1094
533	511029.1752
534	510289.2274
535	510095.0696
536	509391.1097
537	508567.3353
538	507289.7956
539	506567.8865
540	505573.4605
541	505468.497
542	504185.8204
543	503910.2057
544	503021.0829
545	502586.6786
546	501919.2074
547	501107.0009
548	500188.7465
549	499688.9062
550	499271.1734
551	499046.6745
552	498428.2102
553	497423.7479
554	496964.857
555	496494.7257
556	496095.761
557	495087.6561
558	494545.8312
559	493591.1563
560	492955.0007
561	492614.5798
562	492515.5887
563	491380.2868
564	490760.0055
565	490261.5336
566	489821.9612
567	489442.5679
568	489113.9176
569	488454.8998
570	487445.1714
571	486791.936
572	486150.4307
573	485553.3107
574	485101.3613
575	485031.0521
576	484130.278
577	483465.0466
578	483264.4225
579	482641.5524
580	481938.6267
581	481133.9111
582	480748.6935
583	479760.9273
584	479662.5377
585	479416.2539
586	479368.7233
587	478320.3479
588	477844.0271
589	477506.8077
590	476373.6311
591	475692.4682
592	475380.6132
593	474828.9338
594	473776.1159
595	473411.245
596	472635.8906
597	472188.385
598	471902.3003
599	470831.3958
600	470220.1097
601	469902.6235
602	469197.7436
603	468720.6969
604	467863.3659
605	467276.7219
606	466987.7665
607	466700.7909
608	466490.7513
609	466066.565
610	465608.031
611	464737.9327
612	464302.3284
613	463661.2021
614	462586.3014
615	462384.0574
616	461622.5931
617	460483.2147
618	460126.0474
619	459739.1588
620	459650.8567
621	459599.9841
622	459252.4443
623	458372.1065
624	458186.558
625	457436.4862
626	457071.547
627	455983.6593
628	455618.1018
629	455102.7947
630	454265.6745
631	453990.2164
632	453592.2016
633	453364.8862
634	453007.9759
635	452610.2299
636	452182.3332
637	451649.2786
638	451299.963
639	450885.8652
640	450529.812
641	450051.0582
642	449882.3571
643	449289.3696
644	449037.3661
645	448490.9931
646	448181.5566
647	447713.3466
648	447507.5694
649	446887.3631
650	446356.8586
651	445429.2144
652	445357.1932
653	444964.2976
654	444654.1695
655	444044.2501
656	444001.9541
657	443242.7805
658	442470.6371
659	441722.5564
660	440995.6781
661	440286.8215
662	440247.5651
663	439867.7273
664	439368.1373
665	438851.9457
666	438458.4415
667	437795.0155
668	436996.7172
669	436590.0941
670	435749.106
671	435494.5983
672	435226.6925
673	435117.3285
674	434547.0764
675	434031.9946
676	433520.7449
677	433013.1824
678	432824.352
679	432615.3153
680	432002.5657
681	431608.9558
682	431098.6082
683	430860.4681
684	430804.9224
685	429921.8585
686	429270.8938
687	428716.701
688	428456.9671
689	428290.3074
690	427392.7348
691	427119.7122
692	426356.6213
693	425865.1594
694	425697.3274
695	424877.2053
696	423617.803
697	423090.8702
698	422889.1369
699	422758.0455
700	422062.5576
701	421269.9736
702	420948.9039
703	420298.1873
704	419709.1633
705	419277.0298
706	419091.764
707	418338.3684
708	417818.9972
709	417252.5052
710	417040.0897
711	416456.0261
712	415780.4999
713	415402.0757
714	414983.4278
715	414863.6711
716	414258.9741
717	413368.7308
718	412263.4073
719	411741.9631
720	411643.9494
721	410837.2473
722	410430.323
723	410332.0072
724	409693.1078
725	409007.6176
726	408255.2796
727	407750.3388
728	407378.6056
729	407211.8055
730	406723.4121
731	406337.1157
732	406004.8094
733	405410.8151
734	405015.6283
735	404768.0025
736	404381.6111
737	404126.6634
738	403435.2753
739	402869.6759
740	402596.5621
741	402416.6908
742	402212.359
743	401628.0098
744	401395.1414
745	400999.6381
746	400740.6151
747	399907.3095
748	399178.744
749	398510.7583
750	398040.5134
751	397948.3833
752	397631.1788
753	397058.3351
754	396884.4771
755	396092.4339
756	395797.0375
757	395328.1511
758	394854.0608
759	394346.4731
760	393824.6376
761	393651.1997
762	393359.7131
763	393206.8619
764	392695.5685
765	392383.8557
766	391866.3849
767	391577.7405
768	391451.8991
769	391252.0142
770	391110.2552
771	390765.7848
772	390597.3765
773	390444.7277
774	390160.9777
775	389586.7801
776	389496.8875
777	388897.3037
778	388363.98
779	387921.0037
780	387352.249
781	387315.9976
782	386928.9348
783	386335.0772
784	385699.8313
785	385356.4699
786	384860.5258
787	384383.4981
788	384029.8642
789	383865.9039
790	383421.2173
791	382776.7436
792	382342.3362
793	381865.7711
794	381537.4476
795	380838.0915
796	380363.3864
797	379794.5172
798	379141.4558
799	378914.0651
800	378468.5774
801	377928.7228
802	377435.0879
803	377129.3641
804	377063.5229
805	376763.7743
806	376407.4138
807	376174.6726
808	376143.5858
809	375796.4782
810	375411.6422
811	374869.4493
812	374270.7941
813	374181.4749
814	373892.1973
815	373864.7993
816	373626.3211
817	373061.877
818	372923.2987
819	372834.561
820	372326.391
821	372058.6072
822	371903.6661
823	371477.8585
824	370875.8918
825	370297.852
826	370032.4652
827	369889.9945
828	369627.3312
829	369075.9728
830	368977.5123
831	368856.7377
832	368714.6858
833	368325.2371
834	368109.1761
835	368042.736
836	367504.6708
837	367244.9074
838	367107.3316
839	367055.8626
840	366610.3108
841	366555.4373
842	366410.4029
843	365921.3919
844	365452.6583
845	364933.6182
846	364861.1423
847	364718.4411
848	364497.792
849	364206.3297
850	363809.5543
851	363335.0737
852	363270.8563
853	362798.0536
854	362658.9627
855	362474.9476
856	362240.2482
857	361795.5203
858	361265.6415
859	360971.406
860	360586.1291
861	360018.7607
862	359782.4646
863	359670.0983
864	359386.2224
865	358931.7404
866	358415.3803
867	358058.9353
868	357839.012
869	357760.7823
870	357683.8569
871	357241.1369
872	357014.3178
873	356429.6122
874	356069.9775
875	355939.2437
876	355890.7709
877	355359.3929
878	355329.2584
879	355251.5368
880	355125.1626
881	355049.9898
882	354945.3519
883	354782.0663
884	354755.8165
885	354260.2038
886	353815.4577
887	353619.4711
888	353505.8054
889	353195.333
890	352830.989
891	352752.2317
892	352300.5008
893	351775.3779
894	351677.0773
895	351387.5449
896	351311.5608
897	351158.5165
898	350889.8103
899	350474.5545
900	349865.3973
901	349744.6129
902	349469.2641
903	349135.4081
904	349108.1466
905	348813.3999
906	348058.2595
907	347872.8184
908	347477.9382
909	346925.5729
910	346868.3692
911	346478.4296
912	346313.8126
913	346266.87
914	346213.4839
915	346006.9835
916	345980.7152
917	345449.2251
918	345423.6204
919	345140.4246
920	344704.3344
921	344559.1856
922	344428.3762
923	344374.0357
924	344301.9559
925	344222.7753
926	344050.2752
927	343860.6384
928	343467.2376
929	343238.7698
930	343010.6848
931	342986.0268
932	342482.4518
933	342147.1052
934	341680.1793
935	341566.709
936	341362.9417
937	340843.374
938	340819.4197
939	340546.7267
940	340022.5611
941	339967.7424
942	339908.1169
943	339478.8922
944	339098.2122
945	338928.9794
946	338363.7656
947	337925.9284
948	337826.3613
949	337443.0945
950	337311.4928
951	337228.5113
952	337206.7677
953	336816.5521
954	336588.4653
955	336164.4998
956	336044.0967
957	335985.3884
958	335932.4931
959	335740.8569
960	335608.9428
961	334990.4674
962	334908.7136
963	334854.3861
964	334776.1521
965	334702.9399
966	334572.7387
967	334299.7425
968	334249.7617
969	334010.246
970	333751.3725
971	333643.5104
972	333580.3252
973	333098.4325
974	332676.8908
975	332264.9725
976	332029.7804
977	331561.9996
978	331096.581
979	330823.3342
980	330504.2516
981	330373.1742
982	330353.8453
983	330263.2739
984	330096.7902
985	329677.912
986	329581.9937
987	329539.0847
988	329510.331
989	329316.1914
990	328924.2492
991	328898.0809
992	328672.5107
993	328572.9346
994	328511.2313
995	328467.3713
996	328151.535
997	327968.1136
998	327775.782
999	327631.8207
